EmpID,GeographyKey,FirstName,LastName,Company,Address,City,County,State,Zip Code,Phone,Email,LivingWage,AveStatePay,GrossPay2013,GrossPay2014,GrossPay2015
12240,916,Samatha,Piehl,Hospitality Management Corp,825 W 8th Ave #-200,Anchorage,Anchorage,AK,99501,907-274-4286,samatha@piehl.com,31014,"$33,062.00 ","$34,119.98 ","$35,484.78 ","$37,542.90 "
12476,916,Vince,Remmele,"Mahan, Stephen C Esq",4501 Mountain View Dr,Anchorage,Anchorage,AK,99508,907-248-1633,vince@remmele.com,31014,"$33,062.00 ","$35,045.72 ","$36,237.27 ","$38,302.80 "
12614,916,Kelley,Kinsella,Sundance Awning Systems,510 L St #-500,Anchorage,Anchorage,AK,99501,907-279-6588,kelley@kinsella.com,31014,"$33,062.00 ","$34,880.41 ","$36,275.63 ","$37,654.10 "
12629,916,Lolita,Sonderman,Private Label Mfrs Assn,1401 Turner St,Fairbanks,Fairbanks North Star,AK,99701,907-451-1128,lolita@sonderman.com,31014,"$33,062.00 ","$34,086.92 ","$35,757.18 ","$37,294.74 "
12745,916,Kelsey,Carchidi,Ryan And Sossaman Pa,3000 A St,Anchorage,Anchorage,AK,99503,907-563-7467,kelsey@carchidi.com,31014,"$33,062.00 ","$34,913.47 ","$35,995.79 ","$38,011.55 "
12767,916,Elva,Vasmadjides,"Hurley, Michael F Esq",8800 Glacier Hwy #-223,Juneau,Juneau,AK,99801,907-789-0409,elva@vasmadjides.com,31014,"$33,062.00 ","$35,045.72 ","$36,622.78 ","$38,783.52 "
12790,916,Asa,Bonsee,"Mccarren, William J Esq",8800 Glacier Hwy #-223,Juneau,Juneau,AK,99801,907-789-4939,asa@bonsee.com,31014,"$33,062.00 ","$34,186.11 ","$35,211.69 ","$37,007.49 "
12805,916,Lenard,Blankinship,Comfort Inn Orange Park,510 L St,Anchorage,Anchorage,AK,99501,907-278-4838,lenard@blankinship.com,31014,"$33,062.00 ","$34,351.42 ","$35,485.01 ","$37,188.30 "
12811,916,Lawrence,Weldon,Tad Technical Services,Box #-1108,Delta Junction,Southeast Fairbanks,AK,99737,907-895-2638,lawrence@weldon.com,31014,"$33,062.00 ","$34,384.48 ","$35,519.17 ","$37,153.05 "
12902,916,Noreen,Dorlando,Rotak Inc,3939 Turnagain Blvd E,Anchorage,Anchorage,AK,99517,907-248-6618,noreen@dorlando.com,31014,"$33,062.00 ","$34,351.42 ","$35,794.18 ","$37,333.33 "
